"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72259513911","2020-01-01T00:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","26","59","0.00",,,,"28","30.04","CLR:00","29.40",,"45","170",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/20 00:52:02 METAR KNFW 010652Z 17006KT CLR 15/M03 A3010 RMK AO2 SLP174 T01501033 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T01:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.09","28","57","0.00",,,,"33","30.04","CLR:00","29.39",,"44","170",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/20 01:52:02 METAR KNFW 010752Z 17005KT CLR 14/M02 A3009 RMK AO2 SLP172 T01391022 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T02:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.06","29","57","0.00",,"+0.06","8","34","30.01","CLR:00","29.36",,"45","160",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10201/01/20 02:52:02 METAR KNFW 010852Z 16005KT CLR 14/M02 A3006 RMK AO2 SLP162 T01391017 58020 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T03:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.05","28","56","0.00",,,,"34","30.00","CLR:00","29.35",,"44","150",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/20 03:52:02 METAR KNFW 010952Z 15003KT CLR 13/M02 A3005 RMK AO2 SLP159 T01331022 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T04:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.02","28","57","0.00",,,,"33","29.97","CLR:00","29.32",,"44","170",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/20 04:52:02 METAR KNFW 011052Z 17004KT CLR 14/M02 A3002 RMK AO2 SLP148 T01391022 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T05:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.01","29","60","0.00",,"+0.05","8","31","29.96","CLR:00","29.31",,"46","170",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11401/01/20 05:52:02 METAR KNFW 011152Z 17005KT CLR 16/M02 A3001 RMK AO2 SLP145 T01561017 10167 20094 58017 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T06:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","29","56","0.00",,,,"36","29.94","CLR:00","29.29",,"44","160",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/20 06:52:02 METAR KNFW 011252Z 16003KT CLR 13/M02 A2999 RMK AO2 SLP140 T01331017 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T07:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","30","61","0.00",,,,"31","29.93","OVC:08 47","29.28",,"47","170",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09901/01/20 07:52:02 METAR KNFW 011352Z 17004KT OVC047 16/M01 A2998 RMK AO2 SLP135 T01611011 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T08:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","30","64","0.00",,"+0.03","5","28","29.93","OVC:08 43","29.28",,"48","190",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10501/01/20 08:52:02 METAR KNFW 011452Z 19006KT OVC043 18/M01 A2998 RMK AO2 SLP135 T01781011 55009 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72259513911","2020-01-01T09:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","32","64","0.00",,,,"30","29.94","OVC:08 41","29.29",,"49","180",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09801/01/20 09:52:02 METAR KNFW 011552Z 18008KT OVC041 18/00 A2999 RMK AO2 SLP139 T01780000 VISNO N $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
